,Model Size,Reported Parameters,Incorrect Eqn. Parameters,Correct Eqn. Parameters
A_fit,482.0057174387903,452.0707773983148,437.1475756238682,493.3762850080632
B_fit,2085.434199583036,2014.2003048449521,1803.9820888373742,1786.7273974085056
E_fit,1.8168640396247278,1.8097440029551988,1.7974684490826933,1.8065343815772248
alpha_fit,0.347813029043289,0.3440545340414133,0.3418617792305516,0.35026393512966203
beta_fit,0.365854117270769,0.36412671546732883,0.35868940370963365,0.3581994126040722
A_se,120.41812125284515,123.70074835893024,129.63343366613861,133.3277117190174
B_se,1258.9234483644718,1302.655392406977,1352.6968808825734,1248.3061375701634
E_se,0.024617715077279924,0.02537556642041055,0.023179699691976096,0.023194452701167406
alpha_se,0.015104930578740102,0.01522616236151023,0.01431806457112174,0.014279475349815345
beta_se,0.01977458083381662,0.020140021383567495,0.018859631544624045,0.01789481979102007
